order_id,order_number,customer_id,store_id,product_id,order_at,quantity,unit_price,line_subtotal_amount,discount_amount,tax_amount,shipping_amount,total_amount,currency_code,order_status
O0000022,IT-202501-57381,C000612,S00008,P000160,2025-12-22T11:55:01,3,344.62,1033.86,103.39,204.7,7.07,1142.24,EUR,delivered
O0000023,IT-202501-57381,C000612,S00008,P000021,2025-12-22T11:55:01,2,114.26,228.52,0.0,50.27,7.76,286.55,EUR,delivered
O0000024,IT-202509-31061,C000612,S00008,P000197,2025-12-29T17:24:52,2,97.28,194.56,9.73,40.66,9.54,235.03,EUR,delivered
O0000025,IT-202411-51486,C000612,S00007,P000199,2025-12-26T10:31:55,2,64.52,129.04,6.45,26.97,7.71,157.27,EUR,delivered
O0000026,IT-202311-68894,C000612,S00007,P000042,2025-11-12T11:26:44,1,33.63,33.63,5.04,6.29,0.0,34.88,EUR,delivered
O0000027,IT-202311-68894,C000612,S00007,P000094,2025-11-12T11:26:44,1,38.52,38.52,0.0,8.47,5.5,52.49,EUR,delivered
O0000028,IT-202212-75422,C000612,S00008,P000244,2025-12-20T13:53:34,1,195.22,195.22,0.0,42.95,7.35,245.52,EUR,delivered
O0000029,IT-202309-67131,C000612,S00008,P000177,2025-12-26T19:43:27,3,90.37,271.11,0.0,59.64,11.53,342.28,EUR,delivered
O0000030,IT-202309-67131,C000612,S00008,P000236,2025-12-26T19:43:27,1,68.39,68.39,6.84,13.54,4.92,80.01,EUR,delivered
O0000031,IT-202211-68209,C000612,S00007,P000105,2025-12-31T23:59:59,1,107.91,107.91,0.0,23.74,0.0,131.65,EUR,delivered
O0000032,IT-202502-55955,C000612,S00008,P000002,2025-12-30T18:45:50,1,63.94,63.94,6.39,12.66,6.37,76.58,EUR,delivered
O0000033,IT-202502-55955,C000612,S00008,P000093,2025-12-30T18:45:50,3,110.47,331.41,0.0,72.91,6.16,410.48,EUR,delivered
O0000034,IT-202501-12035,C000612,S00007,P000084,2025-12-21T16:52:47,10,57.73,577.3,86.6,107.95,0.0,598.65,EUR,delivered
O0000035,IT-202501-12035,C000612,S00007,P000241,2025-12-21T16:52:47,2,630.86,1261.72,63.09,263.7,0.0,1462.33,EUR,delivered
O0000036,IT-202311-61172,C000612,S00007,P000178,2025-12-29T16:10:27,1,460.19,460.19,0.0,101.24,0.0,561.43,EUR,delivered
O0000037,IT-202409-30847,C000612,S00008,P000149,2025-11-20T08:27:00,2,129.76,259.52,0.0,57.09,7.43,324.04,EUR,delivered
O0000038,IT-202409-30847,C000612,S00008,P000008,2025-11-20T08:27:00,2,34.74,69.48,0.0,15.29,9.67,94.44,EUR,delivered
O0000039,ES-202403-41420,C000280,S00013,P000094,2024-09-19T11:46:49,1,34.73,34.73,0.0,7.29,7.32,49.34,EUR,delivered
O0000040,ES-202403-41420,C000280,S00013,P000064,2024-09-19T11:46:49,1,91.49,91.49,0.0,19.21,0.0,110.7,EUR,delivered
O0000041,ES-202403-41420,C000280,S00013,P000013,2024-09-19T11:46:49,1,124.56,124.56,0.0,26.16,7.55,158.27,EUR,delivered
O0000042,ES-202307-23195,C000280,S00014,P000105,2024-12-15T15:40:04,3,110.9,332.7,0.0,69.87,5.44,408.01,EUR,delivered
O0000043,ES-202401-33419,C000280,S00013,P000002,2025-12-24T13:30:39,1,62.29,62.29,0.0,13.08,0.0,75.37,EUR,delivered
O0000044,ES-202401-33419,C000280,S00013,P000131,2025-12-24T13:30:39,1,93.95,93.95,0.0,19.73,0.0,113.68,EUR,delivered
O0000045,ES-202301-52931,C000280,S00013,P000049,2024-06-01T19:08:17,1,294.56,294.56,14.73,58.76,0.0,338.59,EUR,delivered
O0000046,ES-202507-77194,C000280,S00014,P000069,2024-10-21T11:43:54,2,56.96,113.92,5.7,22.73,12.57,143.52,EUR,delivered
O0000047,ES-202507-77194,C000280,S00014,P000098,2024-10-21T11:43:54,1,139.12,139.12,0.0,29.22,10.71,179.05,EUR,delivered
O0000048,ES-202507-77194,C000280,S00014,P000147,2024-10-21T11:43:54,3,205.25,615.75,0.0,129.31,7.85,752.91,EUR,delivered
O0000049,ES-202406-92929,C000280,S00013,P000072,2024-09-13T08:32:16,2,98.7,197.4,0.0,41.45,0.0,238.85,EUR,delivered
O0000050,ES-202406-92929,C000280,S00013,P000208,2024-09-13T08:32:16,1,95.03,95.03,4.75,18.96,0.0,109.24,EUR,delivered
O0000051,ES-202204-96108,C000280,S00014,P000003,2024-08-18T13:07:00,1,136.63,136.63,6.83,27.26,12.08,169.14,EUR,delivered
O0000052,ES-202207-47173,C000280,S00013,P000223,2024-10-27T16:17:45,1,123.88,123.88,0.0,26.01,4.58,154.47,EUR,delivered
O0000053,ES-202207-47173,C000280,S00013,P000217,2024-10-27T16:17:45,1,319.82,319.82,15.99,63.8,0.0,367.63,EUR,delivered
O0000054,ES-202407-25631,C000171,S00013,P000081,2025-12-31T23:59:59,1,196.09,196.09,0.0,41.18,0.0,237.27,EUR,delivered
O0000055,ES-202208-47272,C000171,S00013,P000162,2025-12-29T20:58:33,1,159.48,159.48,7.97,31.82,4.36,187.69,EUR,delivered
O0000056,ES-202407-20455,C000171,S00014,P000098,2025-12-31T23:59:59,1,138.43,138.43,20.76,24.71,5.08,147.46,EUR,delivered
O0000057,ES-202407-20455,C000171,S00014,P000175,2025-12-31T23:59:59,1,103.1,103.1,0.0,21.65,4.42,129.17,EUR,delivered
O0000058,FR-202203-23780,C000288,S00004,P000227,2025-03-29T11:10:05,1,156.69,156.69,23.5,26.64,12.4,172.23,EUR,delivered
O0000059,AT-202205-15646,C000125,S00001,P000199,2025-12-10T09:16:21,2,71.34,142.68,0.0,28.54,0.0,171.22,EUR,delivered
O0000060,AT-202205-15646,C000125,S00001,P000095,2025-12-10T09:16:21,1,334.19,334.19,0.0,66.84,7.47,408.5,EUR,delivered
O0000061,SE-202511-26039,C000772,S00015,P000121,2025-01-21T15:17:20,2,104.41,208.82,20.88,46.99,0.0,234.93,EUR,delivered
O0000062,SE-202511-26039,C000772,S00015,P000023,2025-01-21T15:17:20,2,178.88,357.76,17.89,84.97,0.0,424.84,EUR,delivered
O0000063,SE-202511-26039,C000772,S00015,P000193,2025-01-21T15:17:20,1,71.3,71.3,3.57,16.93,0.0,84.66,EUR,delivered
O0000064,SE-202504-73916,C000772,S00015,P000078,2024-08-26T17:48:33,2,104.63,209.26,20.93,47.08,0.0,235.41,EUR,delivered
O0000065,SE-202504-73916,C000772,S00015,P000237,2024-08-26T17:48:33,1,60.97,60.97,0.0,15.24,0.0,76.21,EUR,delivered
O0000066,CH-202307-34635,C000471,S00017,P000026,2024-11-15T18:19:55,1,833.26,833.26,0.0,66.66,0.0,899.92,EUR,delivered
O0000067,CH-202307-34635,C000471,S00017,P000115,2024-11-15T18:19:55,1,607.15,607.15,0.0,48.57,0.0,655.72,EUR,delivered
O0000068,CH-202209-21018,C000471,S00018,P000014,2024-06-16T14:32:27,1,193.67,193.67,9.68,14.72,7.79,206.5,EUR,delivered
O0000069,CH-202209-21018,C000471,S00018,P000067,2024-06-16T14:32:27,1,238.82,238.82,0.0,19.11,8.76,266.69,EUR,delivered
O0000070,CH-202509-66828,C000471,S00017,P000225,2024-03-04T11:07:14,2,34.01,68.02,0.0,5.44,0.0,73.46,EUR,delivered
O0000071,CH-202507-61496,C000471,S00017,P000198,2025-07-08T19:17:31,1,215.83,215.83,0.0,17.27,3.46,236.56,EUR,delivered
O0000072,CH-202512-50019,C000471,S00017,P000114,2024-08-01T09:10:11,5,819.5,4097.5,0.0,327.8,0.0,4425.3,EUR,delivered
O0000073,CH-202402-32377,C000471,S00017,P000060,2024-11-11T15:37:00,3,215.38,646.14,96.92,43.94,5.62,598.78,EUR,delivered
O0000074,CH-202402-32377,C000471,S00017,P000028,2024-11-11T15:37:00,1,88.0,88.0,0.0,7.04,0.0,95.04,EUR,delivered
O0000075,CH-202408-74312,C000471,S00018,P000208,2024-09-02T15:16:23,1,97.96,97.96,4.9,7.44,11.78,112.28,EUR,delivered
O0000076,CH-202408-74312,C000471,S00018,P000074,2024-09-02T15:16:23,3,313.29,939.87,0.0,75.19,8.66,1023.72,EUR,delivered
O0000077,CH-202203-63781,C000471,S00017,P000187,2025-12-30T13:31:01,5,20.42,102.1,5.11,7.76,0.0,104.75,EUR,delivered
O0000078,NL-202511-24146,C000757,S00010,P000229,2025-12-02T15:56:33,1,31.04,31.04,0.0,6.52,12.5,50.06,EUR,delivered
O0000079,NL-202405-34978,C000757,S00009,P000200,2025-11-14T13:53:39,2,11.39,22.78,0.0,4.78,0.0,27.56,EUR,delivered
O0000080,NL-202208-99853,C000757,S00009,P000041,2025-11-30T16:18:39,1,106.28,106.28,0.0,22.32,0.0,128.6,EUR,delivered
O0000081,NL-202208-99853,C000757,S00009,P000122,2025-11-30T16:18:39,3,191.82,575.46,0.0,120.85,0.0,696.31,EUR,delivered
O0000082,NL-202411-10084,C000757,S00009,P000241,2025-07-30T12:50:54,4,620.2,2480.8,0.0,520.97,5.15,3006.92,EUR,delivered
O0000083,NL-202411-10084,C000757,S00009,P000141,2025-07-30T12:50:54,4,60.48,241.92,0.0,50.8,4.23,296.95,EUR,delivered
O0000084,NL-202507-62312,C000757,S00009,P000171,2025-12-23T17:19:11,2,46.16,92.32,0.0,19.39,0.0,111.71,EUR,delivered
O0000085,NL-202507-62312,C000757,S00009,P000080,2025-12-23T17:19:11,2,237.02,474.04,0.0,99.55,0.0,573.59,EUR,delivered
O0000086,NL-202509-34034,C000757,S00010,P000235,2025-08-05T16:28:44,2,41.62,83.24,0.0,17.48,7.77,108.49,EUR,delivered
O0000087,NL-202508-13627,C000757,S00009,P000059,2025-08-01T10:39:58,1,286.93,286.93,0.0,60.26,0.0,347.19,EUR,delivered
O0000088,NL-202401-61466,C000757,S00009,P000115,2025-11-28T15:51:48,3,623.43,1870.29,0.0,392.76,0.0,2263.05,EUR,delivered
O0000089,NL-202401-61466,C000757,S00009,P000014,2025-11-28T15:51:48,1,188.81,188.81,0.0,39.65,0.0,228.46,EUR,delivered
O0000090,NL-202212-36878,C000757,S00009,P000161,2025-12-07T15:08:14,2,380.63,761.26,38.06,151.87,0.0,875.07,EUR,delivered
O0000091,NL-202212-36878,C000757,S00009,P000039,2025-12-07T15:08:14,1,393.69,393.69,0.0,82.67,5.59,481.95,EUR,delivered
O0000092,NL-202212-36878,C000757,S00009,P000158,2025-12-07T15:08:14,1,237.62,237.62,0.0,49.9,0.0,287.52,EUR,delivered
O0000093,NL-202501-25966,C000757,S00010,P000137,2025-11-06T10:52:15,3,140.3,420.9,0.0,88.39,9.72,519.01,EUR,delivered
O0000094,NL-202501-25966,C000757,S00010,P000207,2025-11-06T10:52:15,1,107.64,107.64,5.38,21.47,5.53,129.26,EUR,delivered
O0000095,NL-202501-25966,C000757,S00010,P000172,2025-11-06T10:52:15,2,224.78,449.56,0.0,94.41,6.6,550.57,EUR,delivered
O0000096,NL-202210-74613,C000757,S00010,P000104,2025-10-10T14:44:51,1,221.92,221.92,0.0,46.6,9.07,277.59,EUR,delivered
O0000097,NL-202210-49683,C000757,S00009,P000228,2025-11-29T18:39:28,5,670.92,3354.6,167.73,669.24,0.0,3856.11,EUR,delivered
O0000098,NL-202306-75619,C000757,S00009,P000165,2025-12-21T16:24:32,1,323.89,323.89,0.0,68.02,6.92,398.83,EUR,delivered
O0000099,NL-202411-49705,C000757,S00010,P000152,2025-12-22T18:30:24,2,34.71,69.42,3.47,13.85,9.29,89.09,EUR,delivered
O0000100,NL-202411-49705,C000757,S00010,P000045,2025-12-22T18:30:24,2,205.85,411.7,41.17,77.81,4.6,452.94,EUR,delivered
O0000101,NL-202411-49705,C000757,S00010,P000178,2025-12-22T18:30:24,1,506.41,506.41,0.0,106.35,9.98,622.74,EUR,delivered
O0000102,NL-202411-49705,C000757,S00010,P000128,2025-12-22T18:30:24,1,144.2,144.2,0.0,30.28,6.07,180.55,EUR,delivered
O0000103,NL-202302-32806,C000757,S00010,P000213,2025-12-24T08:39:16,1,173.82,173.82,0.0,36.5,11.56,221.88,EUR,delivered
O0000104,NL-202306-24111,C000757,S00010,P000062,2025-08-10T18:36:35,1,274.38,274.38,0.0,57.62,5.45,337.45,EUR,delivered
O0000105,NL-202302-86298,C000757,S00009,P000225,2025-12-28T09:13:02,1,33.1,33.1,0.0,6.95,7.54,47.59,EUR,delivered
O0000106,NL-202302-86298,C000757,S00009,P000090,2025-12-28T09:13:02,2,346.83,693.66,69.37,131.1,0.0,755.39,EUR,delivered
O0000107,NL-202302-86298,C000757,S00009,P000102,2025-12-28T09:13:02,1,67.0,67.0,0.0,14.07,0.0,81.07,EUR,delivered
O0000108,ES-202302-67524,C000037,S00014,P000130,2025-11-07T09:36:05,1,51.77,51.77,0.0,10.87,8.85,71.49,EUR,delivered
O0000109,UK-202204-47997,C000368,S00020,P000071,2025-08-09T09:55:55,1,49.85,49.85,0.0,9.97,9.49,69.31,EUR,delivered
O0000110,UK-202407-91087,C000368,S00019,P000247,2025-08-10T09:37:30,1,164.38,164.38,16.44,29.59,0.0,177.53,EUR,delivered
O0000111,UK-202407-91087,C000368,S00019,P000164,2025-08-10T09:37:30,1,382.05,382.05,0.0,76.41,7.55,466.01,EUR,delivered
O0000112,UK-202407-91087,C000368,S00019,P000009,2025-08-10T09:37:30,1,149.3,149.3,7.47,28.37,0.0,170.2,EUR,delivered
O0000113,UK-202206-19275,C000368,S00020,P000032,2025-09-15T09:56:35,1,143.6,143.6,0.0,28.72,7.14,179.46,EUR,delivered
O0000114,UK-202206-19275,C000368,S00020,P000182,2025-09-15T09:56:35,1,49.07,49.07,4.91,8.83,6.04,59.03,EUR,delivered
O0000115,UK-202201-35712,C000368,S00020,P000193,2025-08-04T08:35:30,2,73.79,147.58,0.0,29.52,5.23,182.33,EUR,delivered
O0000116,UK-202502-90694,C000368,S00020,P000023,2024-09-12T14:58:03,1,167.32,167.32,8.37,31.79,11.26,202.0,EUR,delivered
O0000117,UK-202201-42757,C000368,S00019,P000088,2024-04-08T15:11:18,2,63.11,126.22,0.0,25.24,0.0,151.46,EUR,delivered
O0000118,UK-202511-26040,C000368,S00019,P000205,2024-10-01T16:13:31,3,28.0,84.0,0.0,16.8,0.0,100.8,EUR,delivered
O0000119,UK-202511-26040,C000368,S00019,P000226,2024-10-01T16:13:31,2,83.93,167.86,0.0,33.57,4.58,206.01,EUR,delivered
O0000120,UK-202201-55434,C000368,S00020,P000245,2025-02-18T09:13:58,1,175.51,175.51,0.0,35.1,7.34,217.95,EUR,delivered
O0000121,UK-202301-40815,C000368,S00020,P000066,2025-10-05T09:01:31,5,200.01,1000.05,100.01,180.01,7.45,1087.5,EUR,delivered
O0000122,UK-202301-40815,C000368,S00020,P000148,2025-10-05T09:01:31,1,152.68,152.68,0.0,30.54,6.01,189.23,EUR,delivered
O0000123,UK-202301-40815,C000368,S00020,P000074,2025-10-05T09:01:31,1,321.77,321.77,0.0,64.35,9.93,396.05,EUR,delivered
O0000124,PL-202209-55587,C000794,S00011,P000204,2025-12-22T13:59:53,1,211.65,211.65,0.0,48.68,0.0,260.33,EUR,delivered
O0000125,PL-202209-55587,C000794,S00011,P000148,2025-12-22T13:59:53,2,161.12,322.24,0.0,74.12,0.0,396.36,EUR,delivered
O0000126,PL-202209-55587,C000794,S00011,P000190,2025-12-22T13:59:53,1,386.2,386.2,19.31,84.38,7.68,458.95,EUR,delivered
O0000127,IT-202507-85052,C000035,S00008,P000228,2025-12-12T15:47:59,1,693.19,693.19,0.0,152.5,12.98,858.67,EUR,delivered
O0000128,IT-202406-84852,C000035,S00008,P000164,2024-12-14T13:17:42,2,336.97,673.94,0.0,148.27,9.94,832.15,EUR,delivered
O0000129,IT-202403-68170,C000035,S00008,P000213,2024-06-27T15:02:22,1,178.33,178.33,0.0,39.23,9.48,227.04,EUR,delivered
O0000130,IT-202403-68170,C000035,S00008,P000054,2024-06-27T15:02:22,1,101.46,101.46,0.0,22.32,10.88,134.66,EUR,delivered
O0000131,IT-202405-74871,C000781,S00007,P000057,2024-11-03T10:55:39,1,67.77,67.77,0.0,14.91,0.0,82.68,EUR,delivered
O0000132,IT-202405-74871,C000781,S00007,P000165,2024-11-03T10:55:39,2,300.21,600.42,90.06,112.28,7.87,630.51,EUR,delivered
O0000133,IT-202211-56312,C000781,S00007,P000129,2023-05-25T09:04:32,1,332.38,332.38,33.24,65.81,0.0,364.95,EUR,delivered
O0000134,IT-202211-56312,C000781,S00007,P000058,2023-05-25T09:04:32,2,59.16,118.32,0.0,26.03,0.0,144.35,EUR,delivered
O0000135,IT-202406-63495,C000781,S00008,P000011,2025-12-04T12:39:01,4,197.11,788.44,0.0,173.46,9.47,971.37,EUR,delivered
O0000136,UK-202409-76608,C000582,S00020,P000095,2023-11-14T17:02:42,1,330.34,330.34,33.03,59.46,6.01,362.78,EUR,delivered
O0000137,UK-202409-76608,C000582,S00020,P000250,2023-11-14T17:02:42,1,154.39,154.39,0.0,30.88,7.75,193.02,EUR,delivered
O0000138,UK-202209-16741,C000582,S00020,P000144,2024-05-19T15:20:17,4,142.94,571.76,28.59,108.63,12.79,664.59,EUR,delivered
O0000139,SE-202308-51263,C000279,S00015,P000088,2025-04-09T19:56:26,1,69.89,69.89,3.49,16.6,0.0,83.0,EUR,delivered
O0000140,SE-202507-40115,C000279,S00015,P000152,2025-03-01T14:43:37,1,33.93,33.93,0.0,8.48,0.0,42.41,EUR,delivered
O0000141,SE-202507-40115,C000279,S00015,P000200,2025-03-01T14:43:37,1,10.89,10.89,1.09,2.45,0.0,12.25,EUR,delivered
O0000142,SE-202308-12033,C000279,S00015,P000187,2025-03-29T20:35:45,1,21.49,21.49,3.22,4.57,0.0,22.84,EUR,delivered
O0000143,SE-202308-12033,C000279,S00015,P000032,2025-03-29T20:35:45,3,152.93,458.79,45.88,103.23,0.0,516.14,EUR,delivered
O0000144,SE-202308-12033,C000279,S00015,P000009,2025-03-29T20:35:45,1,150.76,150.76,7.54,35.81,0.0,179.03,EUR,delivered
O0000145,FR-202410-89791,C000390,S00003,P000112,2023-01-30T13:28:58,3,466.91,1400.73,0.0,280.15,0.0,1680.88,EUR,delivered
O0000146,FR-202312-87274,C000390,S00003,P000113,2025-11-04T17:37:23,1,376.64,376.64,0.0,75.33,4.15,456.12,EUR,delivered
O0000147,FR-202312-87274,C000390,S00003,P000080,2025-11-04T17:37:23,1,227.51,227.51,0.0,45.5,0.0,273.01,EUR,delivered
O0000148,PL-202505-52310,C000468,S00012,P000223,2025-03-14T10:02:52,3,113.49,340.47,0.0,78.31,5.48,424.26,EUR,delivered
O0000149,PL-202505-52310,C000468,S00012,P000184,2025-03-14T10:02:52,1,44.29,44.29,0.0,10.19,5.51,59.99,EUR,delivered
O0000150,PL-202505-52310,C000468,S00012,P000108,2025-03-14T10:02:52,4,96.11,384.44,0.0,88.42,4.95,477.81,EUR,delivered
O0000151,PL-202505-52310,C000468,S00012,P000069,2025-03-14T10:02:52,1,56.66,56.66,0.0,13.03,8.96,78.65,EUR,delivered
O0000152,PL-202301-88432,C000468,S00011,P000007,2024-07-24T11:00:31,2,174.47,348.94,0.0,80.26,4.46,433.66,EUR,delivered
O0000153,PL-202301-88432,C000468,S00011,P000050,2024-07-24T11:00:31,1,37.69,37.69,3.77,7.8,0.0,41.72,EUR,delivered
O0000154,PL-202301-88432,C000468,S00011,P000237,2024-07-24T11:00:31,1,55.21,55.21,5.52,11.43,6.65,67.77,EUR,delivered
O0000155,PL-202206-20363,C000468,S00011,P000185,2023-10-20T16:21:17,1,161.49,161.49,16.15,33.43,0.0,178.77,EUR,delivered
O0000156,PL-202206-20363,C000468,S00011,P000169,2023-10-20T16:21:17,1,946.53,946.53,0.0,217.7,0.0,1164.23,EUR,delivered
O0000157,PL-202211-92219,C000678,S00011,P000065,2025-12-23T14:55:14,3,250.15,750.45,0.0,172.6,0.0,923.05,EUR,delivered
O0000158,PL-202211-92219,C000678,S00011,P000038,2025-12-23T14:55:14,3,120.45,361.35,36.14,74.8,3.01,403.02,EUR,delivered
O0000159,PL-202208-83103,C000678,S00011,P000147,2025-12-13T19:16:39,2,200.96,401.92,20.1,87.82,0.0,469.64,EUR,delivered
O0000160,PL-202404-48288,C000678,S00012,P000098,2025-12-31T23:59:59,1,123.55,123.55,12.36,25.57,10.78,147.54,EUR,delivered
O0000161,PL-202404-48288,C000678,S00012,P000089,2025-12-31T23:59:59,1,178.72,178.72,0.0,41.11,9.95,229.78,EUR,delivered
O0000162,PL-202404-48288,C000678,S00012,P000121,2025-12-31T23:59:59,1,106.24,106.24,0.0,24.44,5.01,135.69,EUR,delivered
O0000163,ES-202512-26784,C000671,S00014,P000128,2025-11-07T18:15:01,3,146.44,439.32,0.0,92.26,10.94,542.52,EUR,delivered
O0000164,UK-202411-51630,C000667,S00020,P000066,2025-11-08T14:25:16,3,208.22,624.66,0.0,124.93,9.14,758.73,EUR,delivered
O0000165,UK-202411-51630,C000667,S00020,P000183,2025-11-08T14:25:16,1,46.01,46.01,0.0,9.2,12.52,67.73,EUR,delivered
O0000166,UK-202411-51630,C000667,S00020,P000085,2025-11-08T14:25:16,2,649.83,1299.66,0.0,259.93,4.17,1563.76,EUR,delivered
O0000167,FR-202207-21829,C000508,S00004,P000052,2025-12-08T16:04:41,1,214.6,214.6,21.46,38.63,7.55,239.32,EUR,delivered
O0000168,DE-202305-31155,C000568,S00006,P000009,2024-12-06T16:46:15,1,149.1,149.1,0.0,28.33,6.7,184.13,EUR,delivered
O0000169,DE-202305-31155,C000568,S00006,P000006,2024-12-06T16:46:15,1,398.82,398.82,0.0,75.78,6.44,481.04,EUR,delivered
O0000170,DE-202305-31155,C000568,S00006,P000236,2024-12-06T16:46:15,1,77.11,77.11,3.86,13.92,5.17,92.34,EUR,delivered
O0000171,DE-202305-31155,C000568,S00006,P000026,2024-12-06T16:46:15,2,855.06,1710.12,0.0,324.92,4.66,2039.7,EUR,delivered
O0000172,DE-202501-11932,C000568,S00005,P000216,2025-08-02T20:25:12,2,40.32,80.64,0.0,15.32,0.0,95.96,EUR,delivered
O0000173,DE-202501-11932,C000568,S00005,P000198,2025-08-02T20:25:12,5,225.72,1128.6,0.0,214.43,0.0,1343.03,EUR,delivered
O0000174,DE-202501-11932,C000568,S00005,P000106,2025-08-02T20:25:12,1,66.4,66.4,0.0,12.62,0.0,79.02,EUR,delivered
O0000175,AT-202307-12256,C000491,S00002,P000055,2025-12-09T20:34:45,5,38.85,194.25,0.0,38.85,7.32,240.42,EUR,delivered
O0000176,AT-202211-50712,C000491,S00002,P000218,2025-08-05T09:06:35,1,126.56,126.56,0.0,25.31,9.54,161.41,EUR,delivered
O0000177,FR-202509-84270,C000669,S00003,P000210,2025-12-03T12:26:19,2,39.7,79.4,7.94,14.29,0.0,85.75,EUR,delivered
O0000178,FR-202509-84270,C000669,S00003,P000009,2025-12-03T12:26:19,1,150.88,150.88,0.0,30.18,0.0,181.06,EUR,delivered
O0000179,FR-202306-70472,C000669,S00004,P000106,2025-11-13T19:46:05,1,67.58,67.58,0.0,13.52,5.77,86.87,EUR,delivered
O0000180,FR-202306-70472,C000669,S00004,P000020,2025-11-13T19:46:05,3,102.54,307.62,30.76,55.37,8.45,340.68,EUR,delivered
O0000181,FR-202306-70472,C000669,S00004,P000032,2025-11-13T19:46:05,2,144.22,288.44,0.0,57.69,11.86,357.99,EUR,delivered
O0000182,NL-202507-11213,C000444,S00010,P000067,2025-04-21T12:46:59,2,229.99,459.98,0.0,96.6,10.16,566.74,EUR,delivered
O0000183,NL-202507-11213,C000444,S00010,P000080,2025-04-21T12:46:59,3,261.5,784.5,0.0,164.75,9.43,958.68,EUR,delivered
O0000184,NL-202507-11213,C000444,S00010,P000224,2025-04-21T12:46:59,1,205.18,205.18,0.0,43.09,10.71,258.98,EUR,delivered
O0000185,IT-202303-78731,C000723,S00008,P000245,2025-11-14T10:09:30,1,161.08,161.08,8.05,33.67,8.83,195.53,EUR,delivered
O0000186,NL-202402-18009,C000535,S00010,P000086,2024-11-02T13:40:35,1,170.21,170.21,0.0,35.74,10.55,216.5,EUR,delivered
O0000187,NL-202402-18009,C000535,S00010,P000004,2024-11-02T13:40:35,1,346.04,346.04,34.6,65.4,9.04,385.88,EUR,delivered
O0000188,NL-202402-18009,C000535,S00010,P000048,2024-11-02T13:40:35,2,27.18,54.36,0.0,11.42,4.92,70.7,EUR,delivered
O0000189,NL-202305-33373,C000535,S00010,P000095,2024-09-27T20:33:37,3,359.02,1077.06,161.56,192.26,10.63,1118.39,EUR,delivered
